"","bigram","n","percentage"
"1","C5_B4",987,8.73
"2","D5_C5",843,7.45
"3","Ab4_G4",765,6.76
"4","B4_Ab4",731,6.46
"5","B4_C5",563,4.98
"6","Eb5_D5",496,4.39
"7","G4_G4",476,4.21
"8","C5_D5",465,4.11
"9","G4_Ab4",351,3.1
"10","G4_B4",308,2.72
"11","Ab4_B4",305,2.7
"12","G4_F4",298,2.63
"13","F4_G4",263,2.33
"14","D5_Eb5",261,2.31
"15","F5_Eb5",242,2.14
"16","B4_D5",240,2.12
"17","B4_B4",235,2.08
"18","D5_D5",193,1.71
"19","B4_G4",191,1.69
"20","C5_C5",163,1.44
"21","Ab4_Ab4",128,1.13
"22","G5_F5",123,1.09
"23","F4_F4",111,0.981
"24","G4_D5",108,0.955
"25","G4_C5",107,0.946
"26","G4_G5",106,0.937
"27","D5_B4",105,0.928
"28","G5_G5",85,0.752
"29","E4_F4",82,0.725
"30","Eb5_F5",80,0.707
"31","F4_E4",75,0.663
"32","D5_G5",73,0.645
"33","D5_G4",70,0.619
"34","F5_G5",65,0.575
"35","F4_Ab4",64,0.566
"36","Ab4_C5",61,0.539
"37","Ab5_G5",59,0.522
"38","C5_Eb5",59,0.522
"39","D5_F5",57,0.504
"40","G5_D5",53,0.469
"41","F5_F5",50,0.442
"42","G4_Eb5",48,0.424
"43","C5_Ab4",46,0.407
"44","Ab4_F4",45,0.398
"45","Eb5_C5",45,0.398
"46","G5_G4",44,0.389
"47","C5_F5",43,0.38
"48","Eb5_Eb5",41,0.363
"49","G5_Ab5",41,0.363
"50","C5_F4",32,0.283
"51","F4_B4",31,0.274
"52","G5_B4",28,0.248
"53","B4_F4",26,0.23
"54","D4_G4",26,0.23
"55","G5_F#5",25,0.221
"56","C5_Bb4",24,0.212
"57","F#5_G5",24,0.212
"58","F4_C5",24,0.212
"59","C4_F4",23,0.203
"60","A4_C5",21,0.186
"61","F4_C4",21,0.186
"62","G4_D4",21,0.186
"63","Ab4_D5",20,0.177
"64","G4_G3",19,0.168
"65","C5_G4",17,0.15
"66","G4_A4",16,0.141
"67","F4_F5",15,0.133
"68","F4_A4",14,0.124
"69","G5_Eb5",13,0.115
"70","Bb4_G4",12,0.106
"71","G5_C5",12,0.106
"72","Bb4_D5",11,0.0973
"73","F4_D5",11,0.0973
"74","F5_C5",11,0.0973
"75","F5_D5",11,0.0973
"76","F5_E5",11,0.0973
"77","G3_G4",11,0.0973
"78","A4_Bb4",10,0.0884
"79","C5_G5",10,0.0884
"80","F5_Ab5",10,0.0884
"81","G4_F5",10,0.0884
"82","Bb4_A4",9,0.0796
"83","Bb4_Bb4",9,0.0796
"84","A4_F4",8,0.0707
"85","Bb4_C5",8,0.0707
"86","Eb5_G5",8,0.0707
"87","F#5_Eb5",8,0.0707
"88","Ab5_F5",7,0.0619
"89","C5_A4",7,0.0619
"90","D4_D4",7,0.0619
"91","Eb5_F#5",7,0.0619
"92","Eb5_G4",7,0.0619
"93","A5_G5",6,0.0531
"94","D5_F#5",6,0.0531
"95","E5_F5",6,0.0531
"96","G4_E4",6,0.0531
"97","A4_G4",5,0.0442
"98","B4_F5",5,0.0442
"99","E5_Eb5",5,0.0442
"100","F#5_F5",5,0.0442
"101","G4_F#5",5,0.0442
"102","G5_F4",5,0.0442
"103","Ab5_B5",4,0.0354
"104","B4_Eb5",4,0.0354
"105","B5_Ab5",4,0.0354
"106","Bb5_Ab5",4,0.0354
"107","C4_C4",4,0.0354
"108","C5_Ab5",4,0.0354
"109","E4_G4",4,0.0354
"110","F#5_A5",4,0.0354
"111","G4_Bb4",4,0.0354
"112","G4_C4",4,0.0354
"113","G5_Bb5",4,0.0354
"114","A4_C4",3,0.0265
"115","B4_A4",3,0.0265
"116","C4_Ab4",3,0.0265
"117","C5_C4",3,0.0265
"118","F4_Eb5",3,0.0265
"119","G3_D5",3,0.0265
"120","G4_Ab5",3,0.0265
"121","G5_D4",3,0.0265
"122","A4_A4",2,0.0177
"123","A5_Ab5",2,0.0177
"124","Ab5_Bb5",2,0.0177
"125","B4_G5",2,0.0177
"126","B5_C6",2,0.0177
"127","B5_G5",2,0.0177
"128","Bb4_F4",2,0.0177
"129","Bb5_A5",2,0.0177
"130","C#5_D5",2,0.0177
"131","C4_E4",2,0.0177
"132","C4_G4",2,0.0177
"133","C6_B5",2,0.0177
"134","C6_D6",2,0.0177
"135","D4_D5",2,0.0177
"136","D5_Bb4",2,0.0177
"137","D5_D4",2,0.0177
"138","D5_F4",2,0.0177
"139","D6_C6",2,0.0177
"140","F#5_Ab5",2,0.0177
"141","F#5_D5",2,0.0177
"142","F#5_F#5",2,0.0177
"143","F4_Bb4",2,0.0177
"144","F5_Bb4",2,0.0177
"145","G3_Ab4",2,0.0177
"146","G3_Ab5",2,0.0177
"147","G4 B4_D4",2,0.0177
"148","G4_G4 B4",2,0.0177
"149","G5_A5",2,0.0177
"150","A4_B4",1,0.00884
"151","A4_D5",1,0.00884
"152","Ab4_E4",1,0.00884
"153","Ab4_F5",1,0.00884
"154","Ab5_Ab5",1,0.00884
"155","B4_F#5",1,0.00884
"156","Bb4_C#5",1,0.00884
"157","Bb4_Eb5",1,0.00884
"158","Bb5_G5",1,0.00884
"159","C4_C5",1,0.00884
"160","C4_D4",1,0.00884
"161","D4_E4",1,0.00884
"162","D5_Ab4",1,0.00884
"163","D5_Bb5",1,0.00884
"164","D5_C#5",1,0.00884
"165","D5_F#4",1,0.00884
"166","E5_F#5",1,0.00884
"167","Eb5_E5",1,0.00884
"168","F#4_G4",1,0.00884
"169","G3 D4 B4 G5_B4",1,0.00884
"170","G3_C5",1,0.00884
"171","G4_B5",1,0.00884
"172","G4_G3 D4 B4 G5",1,0.00884
"173","G4_NA",1,0.00884
"174","G5_B5",1,0.00884
"175","G5_C4",1,0.00884
"176","G5_E4",1,0.00884
