"","bigram","n","percentage"
"1","C5_B4",570,7.84
"2","B4_A4",526,7.24
"3","D5_C5",440,6.05
"4","A4_G4",417,5.74
"5","B4_C5",364,5.01
"6","A4_B4",361,4.97
"7","G4_B4",303,4.17
"8","G4_A4",250,3.44
"9","B4_G4",245,3.37
"10","B4_B4",240,3.3
"11","B4_D5",237,3.26
"12","C5_D5",211,2.9
"13","D5_D5",187,2.57
"14","E5_D5",186,2.56
"15","D5_B4",146,2.01
"16","A4_A4",128,1.76
"17","D4_G4",125,1.72
"18","G4_G4",116,1.6
"19","G4_D5",111,1.53
"20","C5_C5",110,1.51
"21","D5_E5",101,1.39
"22","C5_A4",86,1.18
"23","G4_F#4",81,1.11
"24","G4_D4",79,1.09
"25","F#4_G4",74,1.02
"26","F5_E5",70,0.963
"27","A4_C5",68,0.936
"28","D5_G5",61,0.839
"29","G5_D5",57,0.784
"30","C#5_D5",53,0.729
"31","F#5_G5",53,0.729
"32","D5_C#5",50,0.688
"33","E5_F5",45,0.619
"34","G5_F#5",45,0.619
"35","D4_D4",40,0.55
"36","A4_D4",37,0.509
"37","D5_G4",37,0.509
"38","A4_F#4",36,0.495
"39","C5_E5",33,0.454
"40","F#4_D4",31,0.427
"41","F#5_E5",31,0.427
"42","F#4_A4",30,0.413
"43","G4_C5",29,0.399
"44","G4_G5",29,0.399
"45","D4_A4",27,0.372
"46","G5_G5",25,0.344
"47","B4_D4",24,0.33
"48","C5_Bb4",22,0.303
"49","A4_D5",21,0.289
"50","E5_E5",21,0.289
"51","D4_F#4",20,0.275
"52","D5_F5",20,0.275
"53","G5_B4",19,0.261
"54","D5_D4",18,0.248
"55","E5_F#5",18,0.248
"56","F#4_E4",18,0.248
"57","E5_C5",16,0.22
"58","D4_E4",15,0.206
"59","D5_F#5",15,0.206
"60","Bb4_G4",14,0.193
"61","E4_F#4",14,0.193
"62","G4_G3",13,0.179
"63","E4_D4",12,0.165
"64","D5_A4",11,0.151
"65","G4_E5",11,0.151
"66","G5_G4",11,0.151
"67","F#5_D5",10,0.138
"68","A5_G5",9,0.124
"69","D4_B4",9,0.124
"70","G4_C#5",9,0.124
"71","A4_Bb4",8,0.11
"72","A5_F#5",8,0.11
"73","B4_E5",8,0.11
"74","Bb4_C5",8,0.11
"75","C5_G4",8,0.11
"76","D#5_E5",8,0.11
"77","E4_A4",8,0.11
"78","E5_A4",8,0.11
"79","D4_C5",7,0.0963
"80","F#5_A5",7,0.0963
"81","G4_F5",7,0.0963
"82","G5_E5",7,0.0963
"83","A#4_C5",6,0.0826
"84","A4_E5",6,0.0826
"85","B5_A5",6,0.0826
"86","C#5_E5",6,0.0826
"87","C5_F#5",6,0.0826
"88","C6_B5",6,0.0826
"89","Eb5_D5",6,0.0826
"90","F5_D5",6,0.0826
"91","G3_B4",6,0.0826
"92","G5_F5",6,0.0826
"93","B4_A#4",5,0.0688
"94","Bb4_A4",5,0.0688
"95","Bb4_D5",5,0.0688
"96","D5_Eb5",5,0.0688
"97","A#5_B5",4,0.055
"98","A4_G#4",4,0.055
"99","A5_C6",4,0.055
"100","B4_D3",4,0.055
"101","B5_F#5",4,0.055
"102","B5_G5",4,0.055
"103","C5_F#4",4,0.055
"104","D5_D#5",4,0.055
"105","E4_E4",4,0.055
"106","E5_G5",4,0.055
"107","G#4_A4",4,0.055
"108","G4_F#5",4,0.055
"109","G5_A#5",4,0.055
"110","G5_A5",4,0.055
"111","G5_B5",4,0.055
"112","G5_D#5",4,0.055
"113","B4_G5",3,0.0413
"114","Bb4_Bb4",3,0.0413
"115","C#5_C#5",3,0.0413
"116","D4_D5",3,0.0413
"117","F#4_F#4",3,0.0413
"118","F5_G5",3,0.0413
"119","G3_D5",3,0.0413
"120","G5_D4",3,0.0413
"121","A4_F#5",2,0.0275
"122","A5_A5",2,0.0275
"123","A5_B5",2,0.0275
"124","Ab5_G5",2,0.0275
"125","B3_D4",2,0.0275
"126","B5_D6",2,0.0275
"127","C#5_Bb4",2,0.0275
"128","D3_A4",2,0.0275
"129","D3_B4",2,0.0275
"130","D4_B3",2,0.0275
"131","D5_A5",2,0.0275
"132","D6_C6",2,0.0275
"133","E5_A5",2,0.0275
"134","E5_B4",2,0.0275
"135","F#4_D5",2,0.0275
"136","G3_C5",2,0.0275
"137","G4_A5",2,0.0275
"138","G4_Bb4",2,0.0275
"139","G5_A4",2,0.0275
"140","G5_Ab5",2,0.0275
"141","A4 F#5_B4 G5",1,0.0138
"142","B4 G5_G4",1,0.0138
"143","B4_C#5",1,0.0138
"144","B4_F5",1,0.0138
"145","Bb4_C#5",1,0.0138
"146","Bb4_Eb5",1,0.0138
"147","C#5_D4",1,0.0138
"148","C5_C#5",1,0.0138
"149","D5_A4 F#5",1,0.0138
"150","F#5_C5",1,0.0138
"151","F5_F5",1,0.0138
"152","G3_A4",1,0.0138
"153","G3_G4",1,0.0138
"154","G4_A#4",1,0.0138
"155","G4_E4",1,0.0138
"156","G4_NA",1,0.0138
