"","bigram","n","percentage"
"1","C5_B4",956,8.51
"2","D5_C5",824,7.34
"3","Ab4_G4",739,6.58
"4","B4_Ab4",697,6.21
"5","B4_C5",540,4.81
"6","Eb5_D5",484,4.31
"7","G4_G4",457,4.07
"8","C5_D5",442,3.94
"9","G4_Ab4",338,3.01
"10","G4_F4",296,2.64
"11","G4_B4",295,2.63
"12","Ab4_B4",288,2.56
"13","F4_G4",254,2.26
"14","D5_Eb5",248,2.21
"15","B4_D5",238,2.12
"16","F5_Eb5",234,2.08
"17","B4_B4",232,2.07
"18","D5_D5",209,1.86
"19","B4_G4",187,1.67
"20","C5_C5",167,1.49
"21","G5_F5",122,1.09
"22","Ab4_Ab4",119,1.06
"23","G4_C5",116,1.03
"24","G4_D5",112,0.997
"25","F4_F4",109,0.971
"26","D5_B4",105,0.935
"27","G4_G5",102,0.908
"28","G5_G5",89,0.792
"29","Eb5_F5",79,0.703
"30","E4_F4",78,0.695
"31","D5_G4",72,0.641
"32","F4_E4",71,0.632
"33","D5_G5",69,0.614
"34","C5_Eb5",66,0.588
"35","F4_Ab4",62,0.552
"36","F5_G5",62,0.552
"37","Ab5_G5",59,0.525
"38","Ab4_C5",57,0.508
"39","D5_F5",55,0.49
"40","G5_D5",52,0.463
"41","Eb5_Eb5",49,0.436
"42","F5_F5",49,0.436
"43","G4_Eb5",45,0.401
"44","C5_Ab4",44,0.392
"45","G5_G4",42,0.374
"46","Ab4_F4",41,0.365
"47","C5_F5",41,0.365
"48","Eb5_C5",40,0.356
"49","G5_Ab5",40,0.356
"50","G5_F#5",31,0.276
"51","F#5_G5",30,0.267
"52","C5_Bb4",29,0.258
"53","C5_F4",29,0.258
"54","A4_C5",28,0.249
"55","D4_G4",28,0.249
"56","F4_B4",28,0.249
"57","G5_B4",27,0.24
"58","B4_F4",24,0.214
"59","F5_E5",24,0.214
"60","Bb4_A4",23,0.205
"61","C5_G4",23,0.205
"62","F4_C5",23,0.205
"63","G4_D4",23,0.205
"64","C4_F4",22,0.196
"65","A4_Bb4",21,0.187
"66","Ab4_D5",20,0.178
"67","F4_A4",20,0.178
"68","F4_C4",20,0.178
"69","G4_G3",19,0.169
"70","E5_D5",17,0.151
"71","G4_A4",17,0.151
"72","A4_G4",15,0.134
"73","E5_F5",15,0.134
"74","F4_F5",15,0.134
"75","D4_D4",14,0.125
"76","Bb4_G4",13,0.116
"77","C5_A4",13,0.116
"78","Bb4_Bb4",12,0.107
