percentage,transition
7.09,C5_Bb4
6.3,Bb4_A4
5.82,D5_C5
4.8,A4_G4
3.91,A4_Bb4
3.9,Bb4_C5
3.78,G4_G4
3.34,Eb5_D5
3.02,C5_D5
2.91,Bb4_Bb4
2.59,Bb4_D5
2.56,G4_A4
2.32,G4_Bb4
2.16,D5_D5
1.93,G5_G5
1.91,Bb4_G4
1.91,C5_C5
1.6,F5_Eb5
1.44,D5_Eb5
1.41,G4_D4
1.35,D4_G4
1.34,D5_Bb4
1.13,G5_F5
1.06,G5_D5
1.01,D5_G5
0.87,A4_A4
0.86,G4_C5
0.85,A5_G5
0.79,G4_D5
0.73,G4_G5
0.7,F#4_G4
0.68,D5_F5
0.65,A4_C5
0.63,G4_F#4
0.61,Bb5_A5
0.61,C5_A4
0.6,F#5_G5
0.6,F4_Bb4
0.56,G5_F#5
0.52,G4_F4
0.51,D5_G4
0.46,D5_C#5
0.46,C5_Eb5
0.43,Ab4_G4
0.43,C5_G4
0.41,F5_G5
0.37,C#5_D5
0.37,Eb5_C5
0.36,Eb5_F5
0.36,G5_A5
0.35,F4_F4
0.34,F5_F5
0.33,Bb4_F4
0.28,C5_F5
0.28,Db5_C5
0.27,D4_Bb4
0.26,Ab5_G5
0.26,Bb4_Ab4
0.26,F#4_A4
0.26,F4_G4
0.26,G4_Eb5
0.24,A5_Bb5
0.24,Eb5_Eb5
0.23,F5_E5
0.23,D4_F#4
0.23,F5_D5
0.23,G5_G4
0.21,G5_Bb5
0.21,D4_D4
0.19,F#4_D4
0.19,A4_F#4
0.19,C#5_Bb4
0.18,D5_Bb5
0.17,A4_D5
0.15,Bb5_Bb5
0.15,G4_Ab4
0.15,E5_F5
0.15,F5_C5
0.15,F#5_Eb5
0.14,C5_G5
0.14,D5_A4
0.14,C5_Db5
0.14,Bb4_C#5
0.14,E5_D5
0.13,G4_G3
0.13,G5_Ab5
0.13,Bb4_D4
0.12,G5_C5
0.12,G5_Eb5
