"","bigram","n","percentage"
"1","D5_C#5",782,10.1
"2","E5_D5",514,6.62
"3","Bb4_A4",498,6.42
"4","C#5_Bb4",465,5.99
"5","C#5_D5",420,5.41
"6","A4_G4",380,4.9
"7","F5_E5",290,3.74
"8","A4_Bb4",264,3.4
"9","D5_D5",262,3.37
"10","D5_E5",208,2.68
"11","Bb4_D5",195,2.51
"12","Bb4_C#5",170,2.19
"13","G4_A4",169,2.18
"14","C#5_E5",164,2.11
"15","G5_F5",147,1.89
"16","G4_Bb4",130,1.67
"17","D5_G5",127,1.64
"18","E5_F5",122,1.57
"19","G4_G4",104,1.34
"20","Bb4_G4",101,1.3
"21","D4_G4",100,1.29
"22","G5_G5",94,1.21
"23","G4_D4",91,1.17
"24","G4_D5",91,1.17
"25","Bb4_Bb4",84,1.08
"26","D5_Bb4",76,0.979
"27","C5_Bb4",73,0.94
"28","F#5_G5",71,0.915
"29","G5_D5",70,0.902
"30","G4_C#5",61,0.786
"31","A5_G5",51,0.657
"32","C#5_C#5",50,0.644
"33","G5_F#5",49,0.631
"34","D5_G4",48,0.618
"35","D5_F5",46,0.593
"36","F5_F5",45,0.58
"37","G4_G5",45,0.58
"38","Bb5_A5",44,0.567
"39","G4_F#4",42,0.541
"40","F#4_G4",37,0.477
"41","Bb4_C5",36,0.464
"42","A5_Bb5",33,0.425
"43","G5_A5",33,0.425
"44","E5_G5",32,0.412
"45","F5_D5",31,0.399
"46","A4_A4",30,0.386
"47","F5_G5",29,0.374
"48","A4_C5",28,0.361
"49","D5_C5",26,0.335
"50","A4_C#5",24,0.309
"51","D6_C#6",24,0.309
"52","E5_E5",24,0.309
"53","G5_G4",21,0.271
"54","C#6_D6",20,0.258
"55","C5_D5",16,0.206
"56","D5_A4",16,0.206
"57","D6_D6",16,0.206
"58","E5_C#5",16,0.206
"59","F#4_A4",16,0.206
"60","C#5_A4",15,0.193
"61","G4_F5",15,0.193
"62","A4_D5",14,0.18
"63","Bb4_E5",13,0.167
"64","D4_Bb4",13,0.167
"65","D5_Bb5",13,0.167
"66","D4_E4",12,0.155
"67","D5_D4",12,0.155
"68","G5_D4",12,0.155
"69","F#4_D4",11,0.142
"70","G4_G3",11,0.142
"71","C#4_D4",10,0.129
"72","C#6_Bb5",10,0.129
"73","C5_B4",10,0.129
"74","E4_F#4",10,0.129
"75","E6_D6",10,0.129
"76","G4_E5",10,0.129
"77","D4_D4",9,0.116
"78","Eb5_D5",9,0.116
"79","G5_C#5",9,0.116
"80","B4_C5",8,0.103
"81","Bb5_D5",8,0.103
"82","D5_F#5",8,0.103
"83","E6_F6",8,0.103
"84","F6_E6",8,0.103
"85","G5_E5",8,0.103
"86","E5_F#5",7,0.0902
"87","G5_Bb5",7,0.0902
"88","A3_Bb3",6,0.0773
"89","A4_F5",6,0.0773
"90","B4_F5",6,0.0773
"91","Bb5_E6",6,0.0773
"92","Bb5_F#5",6,0.0773
"93","D4_A3",6,0.0773
"94","D4_C#4",6,0.0773
"95","D5_B4",6,0.0773
"96","E4_D4",6,0.0773
"97","A5_F5",5,0.0644
"98","Bb4_F5",5,0.0644
"99","Bb5_G5",5,0.0644
"100","D5_Eb5",5,0.0644
"101","G3_D4",5,0.0644
"102","B4_B4",4,0.0515
"103","Bb3_D4",4,0.0515
"104","Bb4_F#4",4,0.0515
"105","D4_Bb5",4,0.0515
"106","D4_F#4",4,0.0515
"107","D5_F#4",4,0.0515
"108","D6_E6",4,0.0515
"109","F4_E4",4,0.0515
"110","G4_A5",4,0.0515
"111","G4_C#4",4,0.0515
"112","G4_F#5",4,0.0515
"113","G4_F4",4,0.0515
"114","Bb4 Bb5_G3 D4 Bb4 G5",3,0.0386
"115","Bb4 G5_Bb4 Bb5",3,0.0386
"116","C5_C5",3,0.0386
"117","F#5_Bb4 G5",3,0.0386
"118","G3_C#5",3,0.0386
"119","G3_D5",3,0.0386
"120","G5_C#6",3,0.0386
"121","A4_D4",2,0.0258
"122","A5_A5",2,0.0258
"123","B4_D5",2,0.0258
"124","Bb3_G3",2,0.0258
"125","Bb5_C#6",2,0.0258
"126","Bb5_D6",2,0.0258
"127","C#5_Eb5",2,0.0258
"128","D4_C#5",2,0.0258
"129","D4_D5",2,0.0258
"130","D4_F4",2,0.0258
"131","D4_G3",2,0.0258
"132","D6_A5",2,0.0258
"133","D6_Bb5",2,0.0258
