"","Pitch","n"
"1","D5",4073
"2","Bb4",2578
"3","G4",2546
"4","A4",1843
"5","C#5",1787
"6","C5",1774
"7","E5",1307
"8","G5",1305
"9","B4",1032
"10","F5",998
"11","Eb5",493
"12","Ab4",376
"13","D4",370
"14","F4",262
"15","F#5",208
"16","A5",188
"17","Bb5",167
"18","F#4",155
"19","D6",106
"20","E4",73
"21","G3",56
"22","C#6",53
"23","Ab5",46
"24","Db5",43
"25","E6",28
"26","C6",22
"27","F6",20
"28","D#5",18
"29","Bb3",12
"30","C#4",12
"31","B5",12
"32","A3",10
"33","G#5",8
"34","D3",6
"35","Eb4",6
"36","G#4",6
"37","A#5",6
"38","C4",5
"39","Eb6",4
"40","B3",2
"41","A#4",2
"42","E7",2
"43","C3",0
"44","C#3",0
"45","Db3",0
"46","D#3",0
"47","Eb3",0
"48","E3",0
"49","F3",0
"50","F#3",0
"51","G#3",0
"52","Ab3",0
"53","A#3",0
"54","Db4",0
"55","D#4",0
"56","Db6",0
"57","D#6",0
"58","F#6",0
"59","G6",0
"60","G#6",0
"61","Ab6",0
"62","A6",0
"63","A#6",0
"64","Bb6",0
"65","B6",0
"66","C7",0
"67","C#7",0
"68","Db7",0
"69","D7",0
"70","D#7",0
"71","Eb7",0
"72","F7",0
"73","F#7",0
"74","G7",0
"75","G#7",0
"76","Ab7",0
"77","A7",0
"78","A#7",0
"79","Bb7",0
"80","B7",0
