"","bigram","n","percentage"
"1","D5_C#5",691,9.8
"2","E5_D5",462,6.55
"3","Bb4_A4",452,6.41
"4","C#5_Bb4",421,5.97
"5","C#5_D5",373,5.29
"6","A4_G4",361,5.12
"7","F5_E5",256,3.63
"8","A4_Bb4",243,3.45
"9","D5_D5",242,3.43
"10","D5_E5",194,2.75
"11","Bb4_D5",188,2.67
"12","G4_A4",168,2.38
"13","Bb4_C#5",158,2.24
"14","C#5_E5",142,2.01
"15","G5_F5",124,1.76
"16","D5_G5",123,1.74
"17","G4_Bb4",120,1.7
"18","E5_F5",112,1.59
"19","D4_G4",104,1.47
"20","G4_G4",104,1.47
"21","Bb4_G4",100,1.42
"22","G4_D4",93,1.32
"23","G4_D5",89,1.26
"24","Bb4_Bb4",83,1.18
"25","G5_G5",80,1.13
"26","C5_Bb4",75,1.06
"27","D5_Bb4",71,1.01
"28","G5_D5",71,1.01
"29","G4_C#5",59,0.837
"30","F#5_G5",53,0.751
"31","D5_G4",48,0.681
"32","C#5_C#5",46,0.652
"33","D5_F5",46,0.652
"34","G5_F#5",44,0.624
"35","G4_G5",42,0.595
"36","F5_F5",40,0.567
"37","D5_C5",36,0.51
"38","A5_G5",32,0.454
"39","Bb4_C5",32,0.454
"40","G4_F#4",31,0.44
"41","A4_A4",30,0.425
"42","F5_D5",30,0.425
"43","F5_G5",30,0.425
"44","Bb5_A5",27,0.383
"45","A4_C5",26,0.369
"46","E5_G5",26,0.369
"47","F#4_G4",25,0.354
"48","G5_A5",23,0.326
"49","C5_B4",21,0.298
"50","G4_B4",21,0.298
"51","E5_E5",18,0.255
"52","A5_Bb5",17,0.241
"53","B4_G4",17,0.241
"54","C5_D5",17,0.241
"55","B4_C5",16,0.227
"56","D6_D6",16,0.227
"57","E5_C#5",16,0.227
"58","G5_G4",16,0.227
"59","A4_C#5",15,0.213
"60","B4_A4",15,0.213
"61","G4_F5",15,0.213
"62","D5_D4",13,0.184
"63","F#4_A4",13,0.184
"64","C#6_D6",12,0.17
"65","D4_Bb4",12,0.17
"66","D5_A4",12,0.17
"67","G5_D4",12,0.17
"68","A4_D5",10,0.142
"69","D5_B4",10,0.142
"70","D6_C#6",10,0.142
"71","Eb5_D5",10,0.142
"72","G4_E5",10,0.142
"73","A4_B4",9,0.128
"74","B4_D5",9,0.128
"75","Bb4_E5",9,0.128
"76","C#5_A4",9,0.128
"77","E6_F6",8,0.113
"78","F6_E6",8,0.113
"79","G4_G3",8,0.113
"80","G5_E5",8,0.113
"81","A4_F5",7,0.0992
"82","D4_D4",7,0.0992
"83","D5_Eb5",7,0.0992
"84","G4_C5",7,0.0992
"85","B4_B4",6,0.0851
"86","B4_F5",6,0.0851
"87","D5_F#5",6,0.0851
"88","G5_Bb5",6,0.0851
"89","A5_F5",5,0.0709
"90","Bb4_F5",5,0.0709
"91","Bb5_G5",5,0.0709
"92","C5_C5",5,0.0709
"93","F#4_D4",5,0.0709
"94","D4_E4",4,0.0567
"95","D4_F#4",4,0.0567
"96","D5_F#4",4,0.0567
"97","D6_E6",4,0.0567
"98","E5_F#5",4,0.0567
"99","E6_D6",4,0.0567
"100","G3_D4",4,0.0567
"101","G4_F4",4,0.0567
"102","G5_C#5",4,0.0567
"103","C#4_D4",3,0.0425
"104","D4_C#4",3,0.0425
"105","D5_Bb5",3,0.0425
"106","E4_D4",3,0.0425
"107","E4_F#4",3,0.0425
"108","G3_D5",3,0.0425
"109","A4_D4",2,0.0284
"110","A5_A5",2,0.0284
"111","Ab4_G4",2,0.0284
"112","Bb5_C#6",2,0.0284
"113","C#6_Bb5",2,0.0284
"114","C5_A4",2,0.0284
"115","D4_C#5",2,0.0284
"116","D4_G3",2,0.0284
"117","D6_Bb5",2,0.0284
"118","E5_A5",2,0.0284
"119","F#5_A5",2,0.0284
"120","F#5_E5",2,0.0284
"121","F4_Ab4",2,0.0284
"122","F4_Bb4",2,0.0284
"123","F4_E4",2,0.0284
"124","F4_F4",2,0.0284
"125","F5_Bb5",2,0.0284
"126","G3 D4_G4",2,0.0284
"127","G3_C#5",2,0.0284
"128","G4_Bb5",2,0.0284
"129","G4_F#5",2,0.0284
"130","G4_G3 D4",2,0.0284
"131","G5_A4",2,0.0284
"132","G5_B4",2,0.0284
"133","A3_Bb3",1,0.0142
"134","A4_A5",1,0.0142
"135","A4_F#4",1,0.0142
"136","A5_A4",1,0.0142
"137","A5_G#5",1,0.0142
"138","Ab5_G5",1,0.0142
"139","Bb3_G3",1,0.0142
"140","Bb4_Eb5",1,0.0142
"141","C#5_F5",1,0.0142
"142","C#5_G4",1,0.0142
"143","C5_E5",1,0.0142
"144","C5_G5",1,0.0142
"145","D3_D4",1,0.0142
"146","D4_A3",1,0.0142
"147","D4_A4",1,0.0142
"148","D4_D3",1,0.0142
"149","D4_D5",1,0.0142
"150","D4_Eb4",1,0.0142
"151","D4_F4",1,0.0142
"152","E4_F4",1,0.0142
"153","E7_D5",1,0.0142
"154","Eb4_E4",1,0.0142
"155","Eb5_Eb5",1,0.0142
"156","F5_Ab5",1,0.0142
"157","F5_Bb4",1,0.0142
"158","F5_Eb5",1,0.0142
"159","F5_G#5",1,0.0142
"160","G#5_A5",1,0.0142
"161","G#5_F5",1,0.0142
"162","G3_F#5",1,0.0142
"163","G3_G5",1,0.0142
"164","G4_C#6",1,0.0142
"165","G4_E7",1,0.0142
"166","G4_NA",1,0.0142
"167","G5_C#6",1,0.0142
"168","G5_Eb5",1,0.0142
